ID,DOSE,TIME,CONC,CPT
4,60,12,53.52287,Fat
4,60,16,13.0107,Fat
4,60,0,0,Heart
4,60,0.25,3562.455,Heart
4,60,0.5,10532.48,Heart
4,60,1,12855.82,Heart
4,60,2,939.662,Heart
4,60,4,4182.012,Heart
4,60,8,483.5989,Heart
4,60,12,65.39772,Heart
4,60,16,13.09675,Heart
4,60,0,0,Intestine
4,60,0.25,157815,Intestine
4,60,0.5,141121.4,Intestine
4,60,1,136646.8,Intestine
4,60,2,3390.355,Intestine
4,60,4,15540.56,Intestine
4,60,8,1789.832,Intestine
4,60,12,426.8062,Intestine
4,60,16,85.53333,Intestine
4,60,0,0,Kidney
4,60,0.25,11823.22,Kidney
4,60,0.5,40099.13,Kidney
4,60,1,44745.81,Kidney
4,60,2,6987.23,Kidney
4,60,4,22545,Kidney
4,60,8,3338.726,Kidney
4,60,12,564.4856,Kidney
4,60,16,70.0444,Kidney
4,60,0,0,Liver
4,60,0.25,38550.23,Liver
4,60,0.5,64020.93,Liver
4,60,1,66258.22,Liver
4,60,2,5971.845,Liver
4,60,4,26847.49,Liver
4,60,8,2495.439,Liver
4,60,12,464.668,Liver
4,60,16,57.82536,Liver
4,60,0,0,Lung
4,60,0.25,11547.86,Lung
4,60,0.5,39410.73,Lung
4,60,1,62816.23,Lung
4,60,2,10566.89,Lung
4,60,4,51973.98,Lung
4,60,8,8226.345,Lung
4,60,12,3528.035,Lung
4,60,16,222.0081,Lung
4,60,0,0,Muscle
4,60,0.25,822.6345,Muscle
4,60,0.5,2547.069,Muscle
4,60,1,4009.913,Muscle
4,60,2,318.3836,Muscle
4,60,4,2065.191,Muscle
4,60,8,220.2871,Muscle
4,60,12,81.40295,Muscle
4,60,16,29.42897,Muscle
4,60,0,0,Plasma
4,60,0.25,3751.764,Plasma
4,60,0.5,9344.99,Plasma
4,60,1,9998.968,Plasma
4,60,2,1717.551,Plasma
4,60,4,3390.355,Plasma
4,60,8,500.8089,Plasma
4,60,12,71.7654,Plasma
4,60,16,7.383059,Plasma
5,60,0,0,Brain
5,60,0.25,13.527,Brain
5,60,0.5,175.5413,Brain
5,60,1,440.5741,Brain
5,60,2,57.65326,Brain
5,60,4,29.77317,Brain
5,60,8,50.94138,Brain
5,60,12,16.59037,Brain
5,60,16,0,Brain
5,60,0,0,Fat
5,60,0.25,32.18256,Fat
5,60,0.5,1893.092,Fat
5,60,1,3665.714,Fat
5,60,2,242.66,Fat
5,60,4,102.7433,Fat
5,60,8,168.3131,Fat
5,60,12,106.0131,Fat
5,60,16,16.53874,Fat
5,60,0,0,Heart
5,60,0.25,142.6703,Heart
5,60,0.5,7537.948,Heart
5,60,1,13354.9,Heart
5,60,2,1423.261,Heart
5,60,4,648.8142,Heart
5,60,8,280.5218,Heart
5,60,12,184.1462,Heart
5,60,16,11.13482,Heart
5,60,0,0,Intestine
5,60,0.25,35108.25,Intestine
5,60,0.5,299452.7,Intestine
5,60,1,81747.15,Intestine
5,60,2,4474.581,Intestine
5,60,4,1375.073,Intestine
5,60,8,1542.009,Intestine
5,60,12,653.9772,Intestine
5,60,16,79.50986,Intestine
5,60,0,0,Kidney
5,60,0.25,619.5574,Kidney
5,60,0.5,28568.48,Kidney
5,60,1,43541.11,Kidney
5,60,2,8364.024,Kidney
5,60,4,5421.127,Kidney
5,60,8,2443.81,Kidney
5,60,12,1603.965,Kidney
5,60,16,59.20215,Kidney
5,60,0,0,Liver
5,60,0.25,2340.55,Liver
5,60,0.5,58685.85,Liver
5,60,1,64881.42,Liver
5,60,2,7021.65,Liver
5,60,4,3648.504,Liver
5,60,8,1375.073,Liver
5,60,12,1153.065,Liver
5,60,16,63.16043,Liver
5,60,0,0,Lung
5,60,0.25,629.8833,Lung
5,60,0.5,24782.29,Lung
5,60,1,70216.5,Lung
5,60,2,12649.3,Lung
5,60,4,7090.49,Lung
5,60,8,10222.7,Lung
5,60,12,2701.958,Lung
5,60,16,237.497,Lung
5,60,0,0,Muscle
5,60,0.25,53.52287,Muscle
5,60,0.5,2116.821,Muscle
5,60,1,4904.829,Muscle
5,60,2,380.3394,Muscle
5,60,4,204.7981,Muscle
5,60,8,287.4058,Muscle
5,60,12,68.49551,Muscle
5,60,16,11.66833,Muscle
5,60,0,0,Plasma
5,60,0.25,240.939,Plasma
5,60,0.5,5937.425,Plasma
5,60,1,9964.548,Plasma
5,60,2,1622.896,Plasma
5,60,4,643.6512,Plasma
5,60,8,252.9859,Plasma
5,60,12,196.1932,Plasma
5,60,16,4.784359,Plasma
6,60,0,0,Brain
6,60,0.25,56.79276,Brain
6,60,0.5,247.8229,Brain
6,60,1,64.70933,Brain
6,60,2,232.334,Brain
6,60,4,30.28947,Brain
6,60,8,145.7681,Brain
6,60,12,30.97787,Brain
6,60,16,25.12649,Brain
6,60,0,0,Fat
6,60,0.25,170.5504,Fat
6,60,0.5,2495.439,Fat
6,60,1,197.9142,Fat
6,60,2,2770.798,Fat
6,60,4,258.1489,Fat
6,60,8,798.5406,Fat
6,60,12,141.9819,Fat
6,60,16,287.4058,Fat
6,60,0,0,Heart
